n,actual_count,expected_count,error
347002,26368,24397.190232354566,1970.8097676454345
348002,26438,24462.58199646552,1975.4180035344798
349002,26514,24527.961609642924,1986.0383903570764
350002,26567,24593.32911114283,1973.6708888571702
351002,26638,24658.684539981932,1979.3154600180678
352002,26710,24724.02793493967,1985.9720650603304
353002,26784,24789.35933456039,1994.6406654396087
354002,26861,24854.678777155365,2006.3212228446355
355002,26929,24919.986300804954,2009.0136991950458
356002,27004,24985.281943360565,2018.7180566394345
357002,27082,25050.56574244671,2031.43425755329
358002,27152,25115.837735462967,2036.1622645370335
359002,27202,25181.097959586015,2020.9020404139847
360002,27272,25246.3464517715,2025.6535482284999
361002,27358,25311.58324875604,2046.4167512439599
362002,27440,25376.80838705907,2063.191612940929
363002,27507,25442.021902984758,2064.9780970152424
364002,27575,25507.22383262384,2067.7761673761597
365002,27649,25572.41421185549,2076.5857881445118
366002,27715,25637.593076349116,2077.406923650884
367002,27777,25702.760461566166,2074.2395384338342
368002,27851,25767.91640276191,2083.0835972380883
369002,27926,25833.060934987177,2092.9390650128225
370002,28009,25898.194093090126,2110.8059069098745
371002,28080,25963.315911717953,2116.684088282047
372002,28144,26028.426425318565,2115.5735746814353
373002,28194,26093.525668142298,2100.474331857702
374002,28269,26158.613674243556,2110.3863257564444
375002,28334,26223.690477482458,2110.309522517542
376002,28401,26288.756111526473,2112.2438884735275
377002,28467,26353.810609852022,2113.189390147978
378002,28548,26418.854005746063,2129.145994253937
379002,28606,26483.88633230766,2122.1136676923416
380002,28678,26548.90762244957,2129.0923775504307
381002,28763,26613.917908899723,2149.0820911002775
382002,28834,26678.917224202818,2155.082775797182
383002,28914,26743.905600721737,2170.094399278263
384002,28978,26808.88307063915,2169.116929360851
385002,29051,26873.84966595886,2177.15033404114
386002,29126,26938.805418507356,2187.194581492644
387002,29193,27003.75035993523,2189.2496400647688
388002,29263,27068.684521718562,2194.315478281438
389002,29333,27133.607935160395,2199.392064839605
390002,29400,27198.520631392075,2201.4793686079247
391002,29473,27263.422641374673,2209.577358625327
392002,29536,27328.313995900324,2207.686004099676
393002,29603,27393.194725593585,2209.8052744064153
394002,29658,27458.064860912793,2199.935139087207
395002,29732,27522.92443215135,2209.0755678486494
396002,29807,27587.77346943907,2219.226530560929
397002,29886,27652.612002743474,2233.3879972565264
398002,29964,27717.440061871017,2246.559938128983
399002,30030,27782.257676468438,2247.742323531562
400002,30091,27847.06487602396,2243.93512397604
401002,30172,27911.861689868543,2260.138310131457
402002,30240,27976.64814717713,2263.3518528228706
403002,30320,28041.424276969858,2278.5757230301424
404002,30384,28106.19010811325,2277.809891886751
405002,30460,28170.945669321423,2289.0543306785767
406002,30528,28235.690989157272,2292.3090108427277
407002,30603,28300.426096033614,2302.573903966386
408002,30668,28365.151018214372,2302.848981785628
409002,30739,28429.865783815698,2309.134216184302
410002,30802,28494.57042080713,2307.4295791928707
411002,30875,28559.264957012685,2315.735042987315
412002,30956,28623.949420112003,2332.0505798879967
413002,31035,28688.623837641397,2346.3761623586033
414002,31113,28753.288236995006,2359.7117630049943
415002,31161,28817.94264542582,2343.057354574179
416002,31236,28882.58709004677,2353.4129099532292
417002,31318,28947.221597831784,2370.7784021682164
418002,31376,29011.84619561682,2364.153804383179
419002,31427,29076.460910100905,2350.5390898990954
420002,31499,29141.065767847183,2357.9342321528165
421002,31565,29205.660795283882,2359.339204716118
422002,31643,29270.246018705384,2372.753981294616
423002,31712,29334.82146427316,2377.178535726842
424002,31775,29399.38715801678,2375.6128419832203
425002,31838,29463.943125834892,2374.0568741651077
426002,31911,29528.489393496187,2382.5106065038126
427002,31979,29593.02598664035,2385.9740133596497
428002,32046,29657.55293077902,2388.4470692209798
429002,32130,29722.070251296704,2407.9297487032964
430002,32180,29786.577973451727,2393.4220265482727
431002,32255,29851.076122377155,2403.923877622845
432002,32318,29915.564723081683,2402.435276918317
433002,32396,29980.043800450563,2415.956199549437
434002,32461,30044.513379246484,2416.486620753516
435002,32529,30108.97348411048,2420.02651588952
436002,32584,30173.424139562754,2410.575860437246
437002,32653,30237.865370003616,2415.1346299963843
438002,32736,30302.297199714296,2433.702800285704
439002,32804,30366.71965285779,2437.2803471422085
440002,32883,30431.132753479775,2451.8672465202253
441002,32952,30495.536525509335,2456.4634744906652
442002,33026,30559.930992759902,2466.0690072400976
443002,33086,30624.316178930007,2461.6838210699934
444002,33145,30688.69210760409,2456.307892395911
445002,33208,30753.05880225334,2454.941197746659
446002,33288,30817.416286236497,2470.5837137635026
447002,33360,30881.76458280062,2478.2354171993793
448002,33443,30946.10371508186,2496.8962849181407
449002,33511,31010.43370610627,2500.566293893731
450002,33568,31074.754578790533,2493.245421209467
451002,33623,31139.06635594277,2483.9336440572297
452002,33680,31203.369060263292,2476.6309397367077
453002,33768,31267.662714345264,2500.3372856547358
454002,33857,31331.94734067558,2525.0526593244213
455002,33944,31396.222961635496,2547.777038364504
456002,34004,31460.48959950138,2543.5104004986206
457002,34055,31524.747276445472,2530.2527235545276
458002,34122,31588.996014536548,2533.0039854634524
459002,34198,31653.235835740663,2544.764164259337
460002,34276,31717.466761921838,2558.533238078162
461002,34343,31781.68881484276,2561.3111851572394
462002,34427,31845.902016165448,2581.097983834552
463002,34509,31910.10638745199,2598.8936125480104
464002,34570,31974.301950165172,2595.6980498348275
465002,34634,32038.48872566915,2595.511274330849
466002,34699,32102.66673523018,2596.333264769819
467002,34774,32166.836000017145,2607.163999982855
468002,34838,32230.996541102373,2607.003458897627
469002,34896,32295.148379462145,2600.8516205378546
470002,34966,32359.291535977427,2606.708464022573
471002,35030,32423.426031434443,2606.573968565557
472002,35101,32487.551886525347,2613.448113474653
473002,35167,32551.669121848856,2615.330878151144
474002,35226,32615.7777579108,2610.2222420891994
475002,35288,32679.877815124855,2608.1221848751447
476002,35349,32743.96931381301,2605.0306861869904
477002,35417,32808.0522742063,2608.9477257937033
478002,35496,32872.12671644531,2623.8732835546907
479002,35538,32936.19266058082,2601.8073394191815
480002,35613,33000.25012657437,2612.7498734256296
481002,35691,33064.29913429885,2626.7008657011465
482002,35759,33128.33970353911,2630.66029646089
483002,35821,33192.37185399246,2628.6281460075406
484002,35886,33256.3956052693,2629.604394730697
485002,35968,33320.41097689366,2647.5890231063386
486002,36060,33384.41798830375,2675.5820116962495
487002,36115,33448.416658852526,2666.583341147474
488002,36191,33512.40700780828,2678.5929921917195
489002,36234,33576.389054355066,2657.610945644934
490002,36300,33640.36281759339,2659.637182406608
491002,36365,33704.32831654061,2660.67168345939
492002,36429,33768.285570131564,2660.714429868436
493002,36507,33832.234597219045,2674.765402780955
494002,36565,33896.17541657435,2668.8245834256522
495002,36629,33960.10804688775,2668.891953112252
496002,36691,34024.032506769094,2666.9674932309063
497002,36756,34087.94881474817,2668.051185251832
498002,36823,34151.856989275424,2671.143010724576
499002,36902,34215.757048722226,2686.2429512777744
